data_atualizacao_anuncio,logradouro,numero,bairro,edificio,municipio,estado,cep,lat,lng,negocio,valor_anuncio,area_util,preco_m2,dormitorios,banheiros,vagas,tp_unidade,url_anuncio
2018-09-16T04:30:05.254Z,Rua Bandeira Paulista,789,Itaim Bibi,,São Paulo,São Paulo,4532010,"-23,586359000000","-46,674954000000",RENTAL,"2500,000000000000","42,000000000000",59.523809523809526,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-42m2-venda-RS525000-id-94161681/
2018-08-18T08:22:38.829Z,Rua Pedroso Alvarenga,610,Itaim Bibi,,São Paulo,São Paulo,4531001,"-23,581071000000","-46,676457000000",RENTAL,"8300,000000000000","60,000000000000",138.33333333333334,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-60m2-aluguel-RS8300-id-82990316/
2018-08-18T07:24:56.031Z,Rua Pedroso Alvarenga,372,Itaim Bibi,,São Paulo,São Paulo,4531000,"-23,580558000000","-46,674269000000",RENTAL,"9000,000000000000","180,000000000000",50,3,3,2,APARTMENT,/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-180m2-aluguel-RS9000-id-1037777327/
2018-08-31T03:19:06.772Z,Rua Doutor João Clímaco Pereira,65,Itaim Bibi,,São Paulo,São Paulo,4532070,"-23,589856000000","-46,673155000000",RENTAL,"2994,000000000000","38,000000000000",78.78947368421052,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-38m2-aluguel-RS2994-id-90334596/
2018-09-16T04:29:10.039Z,Rua Manuel Guedes,328,Itaim Bibi,,São Paulo,São Paulo,4536070,"-23,583402000000","-46,679288000000",SALE,"280000,000000000000","25,000000000000",11200,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-25m2-venda-RS280000-id-94541286/
2018-09-06T15:53:41.399Z,Avenida Brigadeiro Faria Lima,3989,Itaim Bibi,,São Paulo,São Paulo,4538133,"-23,591107000000","-46,680736000000",RENTAL,"2350,000000000000","35,000000000000",67.14285714285714,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-35m2-aluguel-RS2350-id-1038034033/
2018-09-16T04:49:49.558Z,Rua Pedroso Alvarenga,220,Itaim Bibi,,São Paulo,São Paulo,4531002,"-23,580046000000","-46,672890000000",RENTAL,"3800,000000000000","105,000000000000",36.19047619047619,3,0,1,APARTMENT,/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-105m2-aluguel-RS3800-id-1040615007/
2018-09-24T19:24:36.398Z,Rua João Cachoeira,292,Itaim Bibi,,São Paulo,São Paulo,4535010,"-23,582889000000","-46,678684000000",RENTAL,"6720,000000000000","80,000000000000",84,2,2,2,FLAT,/imovel/flat-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-80m2-aluguel-RS6720-id-1040700479/
2018-09-23T23:52:25.907Z,Rua Pedroso Alvarenga,120,Itaim Bibi,,São Paulo,São Paulo,4531010,"-23,579786000000","-46,671884000000",RENTAL,"5500,000000000000","141,000000000000",39.00709219858156,4,5,2,APARTMENT,/imovel/apartamento-4-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-141m2-aluguel-RS5500-id-90879928/
2018-08-24T04:41:27.292Z,Rua Japão,63,Itaim Bibi,,São Paulo,São Paulo,4530070,"-23,578155000000","-46,673401000000",SALE,"1300000,000000000000","130,000000000000",1E+04,3,2,1,APARTMENT,/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-130m2-venda-RS1300000-id-1037631193/
2018-09-16T04:27:21.806Z,Avenida Cidade Jardim,411,Itaim Bibi,,São Paulo,São Paulo,1453000,"-23,581065000000","-46,683815000000",SALE,"475000,000000000000","38,000000000000",12500,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-38m2-venda-RS475000-id-94725701/
2018-09-19T05:45:14.784Z,Rua Franz Schubert,156,Itaim Bibi,,São Paulo,São Paulo,1454020,"-23,584362000000","-46,689393000000",SALE,"450000,000000000000","36,000000000000",12500,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-36m2-venda-RS450000-id-1041181583/
2018-08-20T19:16:40.898Z,Rua Leopoldo Couto de Magalhães Júnior,550,Itaim Bibi,,São Paulo,São Paulo,4542000,"-23,587411000000","-46,678418000000",RENTAL,"2770,000000000000","45,000000000000",61.55555555555556,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-45m2-aluguel-RS2770-id-90407452/
2018-09-15T07:11:05.197Z,Rua Campos Bicudo,153,Itaim Bibi,,São Paulo,São Paulo,4536010,"-23,581398000000","-46,682579000000",RENTAL,"4350,000000000000","70,000000000000",62.142857142857146,2,2,2,FLAT,/imovel/flat-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-70m2-aluguel-RS4350-id-1038783591/
2018-09-06T15:53:47.716Z,Rua Jesuíno Arruda,806,Itaim Bibi,,São Paulo,São Paulo,4532082,"-23,582789000000","-46,678248000000",RENTAL,"2500,000000000000","36,000000000000",69.44444444444444,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-36m2-aluguel-RS2500-id-1039447489/
2018-09-05T18:58:40.688Z,Rua Jesuíno Arruda,710,Itaim Bibi,,São Paulo,São Paulo,4532082,"-23,582352000000","-46,677362000000",RENTAL,"5000,000000000000","55,000000000000",90.9090909090909,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-55m2-aluguel-RS5000-id-90334800/
2018-09-23T22:59:00.064Z,Rua Leopoldo Couto de Magalhães Júnior,1040,Itaim Bibi,,São Paulo,São Paulo,4542001,"-23,588801000000","-46,683040000000",RENTAL,"9500,000000000000","101,000000000000",94.05940594059406,2,1,2,APARTMENT,/imovel/apartamento-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-101m2-aluguel-RS9500-id-85023612/
2018-08-28T05:19:29.423Z,Rua Leopoldo Couto de Magalhães Júnior,1098,Itaim Bibi,,São Paulo,São Paulo,4542001,"-23,588684000000","-46,683285000000",SALE,"1542000,000000000000","60,000000000000",25700,1,1,1,APARTMENT,/imovel/apartamento-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-60m2-venda-RS1542000-id-1037775483/
2018-09-20T18:40:59.015Z,Rua Pedroso Alvarenga,1256,Itaim Bibi,,São Paulo,São Paulo,4531004,"-23,582874000000","-46,682487000000",SALE,"320000,000000000000","30,000000000000",10666.666666666666,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-30m2-venda-RS320000-id-1040186062/
2018-09-20T04:06:03.495Z,Rua Jesuíno Arruda,806,Itaim Bibi,,São Paulo,São Paulo,4532082,"-23,582789000000","-46,678248000000",RENTAL,"1900,000000000000","29,000000000000",65.51724137931035,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-29m2-aluguel-RS1900-id-1041385656/
2018-08-19T23:34:12.420Z,Rua Pedroso Alvarenga,725,Itaim Bibi,,São Paulo,São Paulo,4531010,"-23,581640000000","-46,677377000000",SALE,"1378000,000000000000","120,000000000000",11483.333333333334,3,3,1,APARTMENT,/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-120m2-venda-RS1378000-id-94994843/
2018-09-23T23:07:34.815Z,Rua Leopoldo Couto de Magalhães Júnior,1098,Itaim Bibi,,São Paulo,São Paulo,4542001,"-23,588684000000","-46,683285000000",SALE,"3970000,000000000000","175,000000000000",22685.714285714286,3,3,2,PENTHOUSE,/imovel/cobertura-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-175m2-venda-RS3970000-id-1040623945/
2018-09-05T04:41:04.884Z,Rua João Cachoeira,107,Itaim Bibi,,São Paulo,São Paulo,4535010,"-23,581172000000","-46,678725000000",SALE,"510000,000000000000","29,000000000000",17586.206896551725,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-29m2-venda-RS510000-id-1040415930/
2018-09-23T23:48:27.926Z,Rua Salvador Cardoso,33,Itaim Bibi,,São Paulo,São Paulo,4533050,"-23,586123000000","-46,685819000000",SALE,"1100000,000000000000","88,000000000000",12500,2,2,1,APARTMENT,/imovel/apartamento-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-88m2-venda-RS1100000-id-90759180/
2018-09-06T15:36:58.101Z,Rua Campos Bicudo,153,Itaim Bibi,,São Paulo,São Paulo,4536010,"-23,581398000000","-46,682579000000",RENTAL,"3790,000000000000","40,000000000000",94.75,1,1,1,FLAT,/imovel/flat-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-40m2-aluguel-RS3790-id-95168105/
2018-08-18T11:16:20.473Z,Rua Urimonduba,127,Itaim Bibi,,São Paulo,São Paulo,4530080,"-23,578434000000","-46,672570000000",RENTAL,"19000,000000000000","544,000000000000",34.9264705882353,4,3,3,PENTHOUSE,/imovel/cobertura-4-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-544m2-venda-RS5500000-id-80038645/
2018-08-29T04:32:01.368Z,Rua Urussuí,70,Itaim Bibi,,São Paulo,São Paulo,4542050,"-23,584164000000","-46,677048000000",RENTAL,"3912,000000000000","40,000000000000",97.8,1,1,1,APARTMENT,/imovel/apartamento-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-40m2-venda-RS617000-id-94674707/
2018-07-25T15:51:11.472Z,Rua Pedroso Alvarenga,1170,Itaim Bibi,,São Paulo,São Paulo,4531004,"-23,582630000000","-46,681760000000",RENTAL,"2780,000000000000","40,000000000000",69.5,1,1,1,APARTMENT,/imovel/apartamento-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-40m2-aluguel-RS2780-id-1037835286/
2018-08-18T08:29:14.674Z,Rua Urimonduba,130,Itaim Bibi,,São Paulo,São Paulo,4530080,"-23,578391000000","-46,672786000000",SALE,"1850000,000000000000","200,000000000000",9250,3,3,2,APARTMENT,/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-200m2-venda-RS1850000-id-1038265855/
2018-09-02T05:43:15.841Z,Rua Urimonduba,171,Itaim Bibi,,São Paulo,São Paulo,4530080,"-23,578835000000","-46,672622000000",SALE,"1500000,000000000000","144,000000000000",10416.666666666666,3,2,2,APARTMENT,/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-144m2-venda-RS1500000-id-94172531/
